,Rank,Rank.1,Rank.2,Team (FPV),Conf,Rec,Pts,CP,Last Week,Date,Year,3WT,CFP
66,15,<,11,Michigan State,Big Ten,1-0,684,13,W 38-31 H Utah State,Week 1Sep 4[2],2018,,
67,16,<,16,TCU,Big 12,1-0,632,16,W 55-7 H Southern,Week 1Sep 4[2],2018,,
68,17,<,15,USC,Pac-12,1-0,628,12,W 43-21 H UNLV,Week 1Sep 4[2],2018,,
69,18,<,18,Mississippi State,SEC,1-0,538,18,W 63-6 H Stephen F. Austin,Week 1Sep 4[2],2018,,
70,19,<,21,UCF,AAC,1-0,407,20,W 56-17 A Connecticut,Week 1Sep 4[2],2018,,
71,20,<,22,Boise State,MWC,1-0,391,19,W 56-20 A Troy,Week 1Sep 4[2],2018,,
72,21,<,14,Michigan,Big Ten,0-1,318,22,L 24-17 A #12 Notre Dame,Week 1Sep 4[2],2018,,
73,22,<,8,Miami (FL),ACC,0-1,241,21,L 33-17 N #25 LSU,Week 1Sep 4[2],2018,,
74,23,<,24,Oregon,Pac-12,1-0,217,RV,W 58-24 H Bowling Green,Week 1Sep 4[2],2018,,
75,24,<,NR,South Carolina,SEC,1-0,125,24,W 49-15 H Coastal Carolina,Week 1Sep 4[2],2018,,
76,25,<,NR,Florida,SEC,1-0,89,25,W 53-6 H Charleston Southern,Week 1Sep 4[2],2018,,
77,RV,<,NR,Utah,Pac-12,1-0,71,RV,W 41-10 H Weber State,Week 1Sep 4[2],2018,,
78,RV,<,NR,Oklahoma State,Big 12,1-0,62,23,W 58-17 H Missouri State,Week 1Sep 4[2],2018,,
79,RV,<,NR,Boston College,ACC,1-0,31,RV,W 55-21 H Massachusetts,Week 1Sep 4[2],2018,,
80,RV,<,NR,Texas A&M,SEC,1-0,29,RV,W 59-7 H Northwestern State,Week 1Sep 4[2],2018,,
81,RV,<,NR,Northwestern,Big Ten,1-0,28,RV,W 31-27 A Purdue,Week 1Sep 4[2],2018,,
82,RV,<,NR,Maryland,Big Ten,1-0,12,RV,W 34-29 N #23 Texas,Week 1Sep 4[2],2018,,
83,RV,<,NR,Mississippi,SEC,1-0,11,NR,W 47-27 N Texas Tech (Advocare Texas Kickoff),Week 1Sep 4[2],2018,,
84,RV,<,NR,NC State,ACC,1-0,9,RV,W 24-13 H James Madison,Week 1Sep 4[2],2018,,
85,RV,<,19,Florida State,ACC,0-1,8,RV,L 24-3 H #20 Virginia Tech,Week 1Sep 4[2],2018,,
86,RV,<,NR,Houston,AAC,1-0,6,RV,W 45-27 A Rice,Week 1Sep 4[2],2018,,
87,RV,<,NR,Memphis,AAC,1-0,6,RV,W 66-14 H Mercer,Week 1Sep 4[2],2018,,
88,RV,<,NR,Washington State,Pac-12,1-0,6,RV,W 41-19 A Wyoming,Week 1Sep 4[2],2018,,
89,RV,<,NR,Iowa State,Big 12,0-0,4,RV,DNP,Week 1Sep 4[2],2018,,
90,RV,<,NR,BYU,Ind,1-0,3,NR,W 28-23 A Arizona,Week 1Sep 4[2],2018,,
91,RV,<,NR,Hawaii,MWC,2-0,3,RV,W 43-34 A Colorado State,Week 1Sep 4[2],2018,,
92,RV,<,NR,Iowa,Big Ten,1-0,3,RV,W 33-7 H Northern Illinois,Week 1Sep 4[2],2018,,
93,RV,<,NR,Kansas State,Big 12,1-0,3,RV,W 27-24 H South Dakota,Week 1Sep 4[2],2018,,
94,RV,<,NR,Arkansas State,Sun Belt,1-0,1,RV,W 48-21 H Southeast Missouri State,Week 1Sep 4[2],2018,,
95,RV,<,NR,Fresno State,MWC,1-0,1,RV,W 79-13 H Idaho,Week 1Sep 4[2],2018,,
96,NR,<,23,Texas,Big 12,0-1,0,NR,L 34-29 N Maryland,Week 1Sep 4[2],2018,,
97,NR,<,NR,Appalachian State,Sun Belt,0-1,0,RV,L 45-38 (1OT) A #10 Penn State,Week 1Sep 4[2],2018,,
98,NR,<,NR,Arkansas,SEC,1-0,0,RV,W 55-20 H Eastern Illinois,Week 1Sep 4[2],2018,,
99,NR,<,NR,Cincinnati,AAC,1-0,0,RV,W 26-17 A UCLA,Week 1Sep 4[2],2018,,
100,NR,<,NR,Duke,ACC,1-0,0,RV,W 34-14 H Army,Week 1Sep 4[2],2018,,
101,NR,<,NR,Georgia Tech,ACC,1-0,0,RV,W 41-0 H Alcorn State,Week 1Sep 4[2],2018,,
102,NR,<,NR,Kentucky,SEC,1-0,0,RV,W 35-20 H Central Michigan,Week 1Sep 4[2],2018,,
103,NR,<,NR,San Diego State,MWC,0-1,0,RV,L 31-10 A #13 Stanford,Week 1Sep 4[2],2018,,
104,NR,<,NR,South Florida,AAC,1-0,0,RV,W 34-14 H Elon,Week 1Sep 4[2],2018,,
105,1,<,1,Alabama (54),SEC,2-0,1517,*1,W 57-7 H Arkansas State,Week 2Sep 9[3],2018,0,
106,2,<,2,Clemson (6),ACC,2-0,1430,*2,W 28-26 A Texas A&M,Week 2Sep 9[3],2018,0,
107,3,<,3,Georgia,SEC,2-0,1407,3,W 41-17 A #24 South Carolina,Week 2Sep 9[3],2018,0,
108,4,<,4,Ohio State,Big Ten,2-0,1288,*4,W 52-3 H Rutgers,Week 2Sep 9[3],2018,+1,
109,5,<,6,Oklahoma,Big 12,2-0,1263,5,W 49-21 H UCLA,Week 2Sep 9[3],2018,+2,
110,6,<,5,Wisconsin (1),Big Ten,2-0,1227,6,W 45-14 H New Mexico,Week 2Sep 9[3],2018,-2,
111,7,<,7,Auburn,SEC,2-0,1224,7,W 63-9 H Alabama State,Week 2Sep 9[3],2018,+2,
112,8,<,8,Notre Dame,Ind,2-0,1022,8,W 24-16 H Ball State,Week 2Sep 9[3],2018,+4,
113,9,<,10,Stanford,Pac-12,2-0,992,9,W 17-3 H #17 USC,Week 2Sep 9[3],2018,+4,
114,10,<,9,Washington,Pac-12,1-1,884,12,W 45-3 H North Dakota,Week 2Sep 9[3],2018,-4,
115,11,<,13,Penn State,Big Ten,2-0,836,10,W 51-6 A Pittsburgh,Week 2Sep 9[3],2018,-1,
116,12,<,11,LSU,SEC,2-0,830,13,W 31-0 H Southeastern Louisiana,Week 2Sep 9[3],2018,+13,
117,13,<,12,Virginia Tech,ACC,2-0,794,11,W 62-17 H William & Mary,Week 2Sep 9[3],2018,+7,
118,14,<,14,West Virginia,Big 12,2-0,793,15,W 52-17 H Youngstown State,Week 2Sep 9[3],2018,+3,
119,15,<,16,TCU,Big 12,2-0,678,14,W 42-12 A SMU,Week 2Sep 9[3],2018,+1,
120,16,<,18,Mississippi State,SEC,2-0,654,16,W 31-10 A Kansas State,Week 2Sep 9[3],2018,+2,
121,17,<,20,Boise State,MWC,2-0,500,17,W 62-7 H Connecticut,Week 2Sep 9[3],2018,+5,
122,18,<,19,UCF,AAC,2-0,494,18,W 38-0 H South Carolina State,Week 2Sep 9[3],2018,+3,
123,19,<,21,Michigan,Big Ten,1-1,385,22,W 49-3 H Western Michigan,Week 2Sep 9[3],2018,-5,
124,20,<,23,Oregon,Pac-12,2-0,301,23,W 62-14 H Portland State,Week 2Sep 9[3],2018,+4,
125,21,<,22,Miami (FL),ACC,1-1,299,20,W 77-0 H Savannah State,Week 2Sep 9[3],2018,-13,
126,22,<,17,USC,Pac-12,1-1,250,21,L 17-3 A #10 Stanford,Week 2Sep 9[3],2018,-7,
127,23,<,NR,Arizona State,Pac-12,2-0,139,25,W 16-13 H #15 Michigan State,Week 2Sep 9[3],2018,--,
128,24,<,NR,Oklahoma State,Big 12,2-0,119,19,W 55-13 H South Alabama,Week 2Sep 9[3],2018,+2,
129,25,<,15,Michigan State,Big Ten,1-1,104,24,L 16-13 A Arizona State,Week 2Sep 9[3],2018,-14,
130,RV,<,NR,Utah,Pac-12,2-0,92,RV,W 17-6 A Northern Illinois,Week 2Sep 9[3],2018,--,
131,RV,<,NR,Texas A&M,SEC,1-1,90,RV,L 28-26 H #2 Clemson,Week 2Sep 9[3],2018,--,
132,RV,<,NR,Boston College,ACC,2-0,45,RV,W 62-14 H Holy Cross,Week 2Sep 9[3],2018,--,
133,RV,<,NR,Houston,AAC,2-0,32,RV,W 45-18 H Arizona,Week 2Sep 9[3],2018,--,
134,RV,<,NR,Maryland,Big Ten,2-0,30,RV,W 45-14 A Bowling Green,Week 2Sep 9[3],2018,--,
135,RV,<,NR,Colorado,Pac-12,2-0,25,RV,W 33-28 A Nebraska,Week 2Sep 9[3],2018,--,
136,RV,<,NR,Iowa,Big Ten,2-0,23,RV,W 13-3 H Iowa State,Week 2Sep 9[3],2018,--,
137,RV,<,NR,Kentucky,SEC,2-0,19,RV,W 27-16 A #25 Florida,Week 2Sep 9[3],2018,--,
138,RV,<,NR,Duke,ACC,2-0,10,RV,W 21-7 A Northwestern,Week 2Sep 9[3],2018,--,
139,RV,<,NR,NC State,ACC,2-0,9,RV,W 41-7 H Georgia State,Week 2Sep 9[3],2018,--,
140,RV,<,NR,Hawaii,MWC,3-0,5,RV,W 43-29 H Rice,Week 2Sep 9[3],2018,--,
141,RV,<,NR,Mississippi,SEC,2-0,5,NR,W 76-41 H Southern Illinois,Week 2Sep 9[3],2018,--,
142,RV,<,NR,Washington State,Pac-12,2-0,4,RV,W 31-0 H San Jose State,Week 2Sep 9[3],2018,--,
143,RV,<,NR,South Florida,AAC,2-0,3,RV,W 49-38 H Georgia Tech,Week 2Sep 9[3],2018,--,
144,RV,<,24,South Carolina,SEC,1-1,2,RV,L 41-17 H #3 Georgia,Week 2Sep 9[3],2018,--,
145,RV,<,NR,Florida State,ACC,1-1,1,RV,W 36-26 H Samford,Week 2Sep 9[3],2018,-7,
146,NR,<,25,Florida,SEC,1-1,0,NR,L 27-16 H Kentucky,Week 2Sep 9[3],2018,--,
147,NR,<,NR,Appalachian State,Sun Belt,1-1,0,RV,W 45-9 A Charlotte,Week 2Sep 9[3],2018,--,
148,NR,<,NR,Arkansas State,Sun Belt,1-1,0,RV,L 57-7 A #1 Alabama,Week 2Sep 9[3],2018,--,
149,NR,<,NR,Cincinnati,AAC,2-0,0,RV,W 21-0 A Miami (OH),Week 2Sep 9[3],2018,--,
150,NR,<,NR,Memphis,AAC,1-1,0,RV,L 22-21 A Navy,Week 2Sep 9[3],2018,--,
151,NR,<,NR,Missouri,SEC,2-0,0,RV,W 40-13 H Wyoming,Week 2Sep 9[3],2018,--,
152,NR,<,NR,Texas,Big 12,1-1,0,RV,W 28-21 H Tulsa,Week 2Sep 9[3],2018,-2,
153,NR,<,NR,Vanderbilt,SEC,2-0,0,RV,W 41-10 H Nevada,Week 2Sep 9[3],2018,--,
154,1,<,1,Alabama (58),SEC,3-0,1521,*1,W 62-7 A Mississippi,Week 3Sep 16[4],2018,0,
155,2,<,3,Georgia,SEC,3-0,1416,3,W 49-7 H Middle Tennessee,Week 3Sep 16[4],2018,+1,
156,3,<,2,Clemson (3),ACC,3-0,1405,*2,W 38-7 H Georgia Southern,Week 3Sep 16[4],2018,-1,
157,4,<,4,Ohio State,Big Ten,3-0,1357,*4,W 40-28 N #15 TCU,Week 3Sep 16[4],2018,0,
158,5,<,5,Oklahoma,Big 12,3-0,1283,5,W 37-27 A Iowa State,Week 3Sep 16[4],2018,+1,
159,6,<,12,LSU,SEC,3-0,1241,6,W 22-21 A #7 Auburn,Week 3Sep 16[4],2018,+5,
160,7,<,9,Stanford,Pac-12,3-0,1055,7,W 30-10 H UC Davis,Week 3Sep 16[4],2018,+3,
161,8,<,8,Notre Dame,Ind,3-0,1034,8,W 22-17 H Vanderbilt,Week 3Sep 16[4],2018,0,
162,9,<,7,Auburn,SEC,2-1,958,11,L 22-21 H #12 LSU,Week 3Sep 16[4],2018,-2,
163,10,<,10,Washington,Pac-12,2-1,947,12,W 21-7 A Utah,Week 3Sep 16[4],2018,-1,
164,10,<,11,Penn State,Big Ten,3-0,947,9,W 63-10 H Kent State,Week 3Sep 16[4],2018,+3,
165,12,<,14,West Virginia,Big 12,2-0,841,13,DNP,Week 3Sep 16[4],2018,+2,
166,13,<,13,Virginia Tech,ACC,2-0,816,10,DNP,Week 3Sep 16[4],2018,-1,
167,14,<,16,Mississippi State,SEC,3-0,790,14,W 56-10 H Louisiana,Week 3Sep 16[4],2018,+4,
168,15,<,24,Oklahoma State,Big 12,3-0,587,15,W 44-21 H #17 Boise State,Week 3Sep 16[4],2018,+11,
169,16,<,18,UCF,AAC,2-0,556,18,DNP,Week 3Sep 16[4],2018,+3,
170,17,<,15,TCU,Big 12,2-1,502,17,L 40-28 N #4 Ohio State,Week 3Sep 16[4],2018,-1,
171,18,<,6,Wisconsin,Big Ten,2-1,486,16,L 24-21 H BYU,Week 3Sep 16[4],2018,-13,
172,19,<,19,Michigan,Big Ten,2-1,448,21,W 45-20 H SMU,Week 3Sep 16[4],2018,+2,
173,20,<,20,Oregon,Pac-12,3-0,399,19,W 35-22 H San Jose State,Week 3Sep 16[4],2018,+3,
174,21,<,21,Miami (FL),ACC,2-1,362,20,W 49-24 A Toledo,Week 3Sep 16[4],2018,+1,
175,22,<,NR,Texas A&M,SEC,2-1,193,22,W 48-10 H UL Monroe,Week 3Sep 16[4],2018,+4,
176,23,<,NR,Boston College,ACC,3-0,130,25,W 41-34 A Wake Forest,Week 3Sep 16[4],2018,+3,
177,24,<,25,Michigan State,Big Ten,1-1,86,23,DNP,Week 3Sep 16[4],2018,-9,
178,25,<,NR,BYU,Ind,2-1,75,RV,W 24-21 A #6 Wisconsin,Week 3Sep 16[4],2018,--,
179,RV,<,NR,Iowa,Big Ten,3-0,64,RV,W 38-14 H Northern Iowa,Week 3Sep 16[4],2018,--,
180,RV,<,17,Boise State,MWC,2-1,62,24,L 44-21 A #24 Oklahoma State,Week 3Sep 16[4],2018,-6,
181,RV,<,NR,Duke,ACC,3-0,61,RV,W 40-27 A Baylor,Week 3Sep 16[4],2018,--,
182,RV,<,NR,Colorado,Pac-12,3-0,49,RV,W 45-14 H New Hampshire,Week 3Sep 16[4],2018,--,
183,RV,<,NR,California,Pac-12,3-0,40,RV,W 45-23 H Idaho State,Week 3Sep 16[4],2018,--,
184,RV,<,NR,Kentucky,SEC,3-0,38,RV,W 48-10 H Murray State,Week 3Sep 16[4],2018,--,
185,RV,<,NR,South Florida,AAC,3-0,14,RV,W 25-19 A Illinois,Week 3Sep 16[4],2018,--,
186,RV,<,NR,Texas,Big 12,2-1,12,RV,W 37-14 H #22 USC,Week 3Sep 16[4],2018,--,
187,RV,<,NR,NC State,ACC,2-0,10,RV,DNP,Week 3Sep 16[4],2018,--,
188,RV,<,23,Arizona State,Pac-12,2-1,9,RV,L 28-21 A San Diego State,Week 3Sep 16[4],2018,--,
189,RV,<,NR,Missouri,SEC,3-0,8,RV,W 40-37 A Purdue,Week 3Sep 16[4],2018,--,
190,RV,<,NR,Utah,Pac-12,2-1,6,RV,L 21-7 H #10 Washington,Week 3Sep 16[4],2018,--,
191,RV,<,NR,San Diego State,MWC,2-1,5,RV,W 28-21 H #23 Arizona State,Week 3Sep 16[4],2018,--,
192,RV,<,NR,North Texas,CUSA,3-0,4,RV,W 44-17 A Arkansas,Week 3Sep 16[4],2018,--,
193,RV,<,NR,South Carolina,SEC,1-1,4,RV,DNP,Week 3Sep 16[4],2018,-2,
194,RV,<,NR,Syracuse,ACC,3-0,2,RV,W 30-7 H Florida State,Week 3Sep 16[4],2018,--,
195,RV,<,NR,Washington State,Pac-12,3-0,2,RV,W 59-24 H Eastern Washington,Week 3Sep 16[4],2018,--,
196,NR,<,22,USC,Pac-12,1-2,0,NR,L 37-14 A Texas,Week 3Sep 16[4],2018,-9,
197,NR,<,NR,Appalachian State,Sun Belt,1-1,0,RV,DNP,Week 3Sep 16[4],2018,--,
198,NR,<,NR,Arkansas State,Sun Belt,2-1,0,RV,W 29-20 A Tulsa,Week 3Sep 16[4],2018,--,
199,NR,<,NR,Cincinnati,AAC,3-0,0,RV,W 63-7 H Alabama A&M,Week 3Sep 16[4],2018,--,
200,NR,<,NR,Florida,SEC,2-1,0,RV,W 48-10 H Colorado State,Week 3Sep 16[4],2018,-1,
201,NR,<,NR,Fresno State,MWC,2-1,0,RV,W 38-14 A UCLA,Week 3Sep 16[4],2018,--,
202,NR,<,NR,Houston,AAC,2-1,0,RV,L 63-49 A Texas Tech,Week 3Sep 16[4],2018,--,
203,NR,<,NR,Minnesota,Big Ten,3-0,0,RV,W 26-3 H Miami (OH),Week 3Sep 16[4],2018,--,
204,NR,<,NR,Tennessee,SEC,2-1,0,RV,W 24-0 H UTEP,Week 3Sep 16[4],2018,--,
205,NR,<,NR,Troy,Sun Belt,2-1,0,RV,W 24-19 A Nebraska,Week 3Sep 16[4],2018,--,
206,NR,<,NR,Vanderbilt,SEC,2-1,0,RV,L 22-17 A #8 Notre Dame,Week 3Sep 16[4],2018,--,
207,1,<,1,Alabama (60),SEC,4-0,1523,1,W 45-23 H #22 Texas A&M,Week 4Sep 23[5],2018,0,
208,2,<,2,Georgia,SEC,4-0,1422,3,W 43-29 A Missouri,Week 4Sep 23[5],2018,+1,
209,3,<,3,Clemson (1),ACC,4-0,1409,2,W 49-21 A Georgia Tech,Week 4Sep 23[5],2018,-1,
210,4,<,4,Ohio State,Big Ten,4-0,1363,4,W 49-6 H Tulane,Week 4Sep 23[5],2018,0,
211,5,<,6,LSU,SEC,4-0,1238,6,W 38-21 H Louisiana Tech,Week 4Sep 23[5],2018,+7,
212,6,<,5,Oklahoma,Big 12,4-0,1201,5,W 28-21 (1OT) H Army,Week 4Sep 23[5],2018,-1,
213,7,<,7,Stanford,Pac-12,4-0,1143,7,W 38-31 (1OT) A #20 Oregon,Week 4Sep 23[5],2018,+2,
214,8,<,8,Notre Dame,Ind,4-0,1067,8,W 56-27 A Wake Forest,Week 4Sep 23[5],2018,0,
215,9,<,10,Penn State,Big Ten,4-0,1001,9,W 63-24 A Illinois,Week 4Sep 23[5],2018,+2,
216,10,<,9,Auburn,SEC,3-1,987,10,W 34-3 H Arkansas,Week 4Sep 23[5],2018,-3,
217,11,<,10,Washington,Pac-12,3-1,946,11,W 27-20 H Arizona State,Week 4Sep 23[5],2018,-1,
218,12,<,12,West Virginia,Big 12,3-0,923,12,W 35-6 H Kansas State,Week 4Sep 23[5],2018,+2,
219,13,<,16,UCF,AAC,3-0,727,14,W 56-36 H Florida Atlantic,Week 4Sep 23[5],2018,+5,
220,14,<,19,Michigan,Big Ten,3-1,698,15,W 56-10 H Nebraska,Week 4Sep 23[5],2018,+5,
221,15,<,18,Wisconsin,Big Ten,3-1,662,13,W 28-17 A Iowa,Week 4Sep 23[5],2018,-9,
222,16,<,21,Miami (FL),ACC,3-1,571,16,W 31-17 H Florida International,Week 4Sep 23[5],2018,+5,
223,17,<,NR,Kentucky,SEC,4-0,541,17,W 28-7 H #14 Mississippi State,Week 4Sep 23[5],2018,+9,
224,18,<,NR,Texas,Big 12,3-1,308,22,W 31-16 H #17 TCU,Week 4Sep 23[5],2018,--,
225,19,<,20,Oregon,Pac-12,3-1,297,20,L 38-31 (1OT) H #7 Stanford,Week 4Sep 23[5],2018,+1,
226,20,<,25,BYU,Ind,3-1,270,RV,W 30-3 H McNeese,Week 4Sep 23[5],2018,--,
227,21,<,24,Michigan State,Big Ten,2-1,256,18,W 35-21 A Indiana,Week 4Sep 23[5],2018,+4,
228,22,<,NR,Duke,ACC,4-0,244,23,W 55-13 H North Carolina Central,Week 4Sep 23[5],2018,+4,
229,23,<,14,Mississippi State,SEC,3-1,241,19,L 28-7 A Kentucky,Week 4Sep 23[5],2018,-7,
230,24,<,NR,California,Pac-12,3-0,118,RV,DNP,Week 4Sep 23[5],2018,--,
231,25,<,NR,Texas Tech,Big 12,3-1,106,RV,W 41-17 A #15 Oklahoma State,Week 4Sep 23[5],2018,--,
232,RV,<,NR,Colorado,Pac-12,3-0,83,RV,DNP,Week 4Sep 23[5],2018,--,
233,RV,<,NR,Boise State,MWC,2-1,58,25,DNP,Week 4Sep 23[5],2018,-9,
234,RV,<,13,Virginia Tech,ACC,2-1,55,24,L 49-35 A Old Dominion,Week 4Sep 23[5],2018,-13,
235,RV,<,NR,South Florida,AAC,4-0,50,RV,W 20-13 H East Carolina,Week 4Sep 23[5],2018,--,
236,RV,<,15,Oklahoma State,Big 12,3-1,44,21,L 41-17 H Texas Tech,Week 4Sep 23[5],2018,-2,
237,RV,<,22,Texas A&M,SEC,2-2,41,RV,L 45-23 A #1 Alabama,Week 4Sep 23[5],2018,--,
238,RV,<,NR,Iowa,Big Ten,3-1,31,RV,L 28-17 H #18 Wisconsin,Week 4Sep 23[5],2018,--,
239,RV,<,NR,South Carolina,SEC,2-1,31,RV,W 37-14 A Vanderbilt,Week 4Sep 23[5],2018,--,
240,RV,<,NR,Florida,SEC,3-1,29,RV,W 47-21 A Tennessee,Week 4Sep 23[5],2018,--,
241,RV,<,NR,NC State,ACC,3-0,28,RV,W 37-20 A Marshall,Week 4Sep 23[5],2018,--,
