,Rank,Rank.1,Rank.2,Team (FPV),Conf,Rec,Pts,CP,Last Week,Date,Year,3WT,CFP
23,24,<,14,Missouri,SEC,0-0,219,23,DNP,PreseasonAug 23[1],2015,,
24,25,<,NR,Tennessee,SEC,0-0,114,25,DNP,PreseasonAug 23[1],2015,,
25,RV,<,11,Mississippi State,SEC,0-0,100,RV,DNP,PreseasonAug 23[1],2015,,
26,RV,<,NR,Texas A&M,SEC,0-0,61,RV,DNP,PreseasonAug 23[1],2015,,
27,RV,<,NR,Oklahoma State,Big 12,0-0,46,RV,DNP,PreseasonAug 23[1],2015,,
28,RV,<,NR,Virginia Tech,ACC,0-0,42,RV,DNP,PreseasonAug 23[1],2015,,
29,RV,<,21,Utah,Pac-12,0-0,36,RV,DNP,PreseasonAug 23[1],2015,,
30,RV,<,NR,Penn State,Big Ten,0-0,20,RV,DNP,PreseasonAug 23[1],2015,,
31,RV,<,24,Louisville,ACC,0-0,12,RV,DNP,PreseasonAug 23[1],2015,,
32,RV,<,NR,Cincinnati,AAC,0-0,8,RV,DNP,PreseasonAug 23[1],2015,,
33,RV,<,NR,Nebraska,Big Ten,0-0,6,RV,DNP,PreseasonAug 23[1],2015,,
34,RV,<,18,Kansas State,Big 12,0-0,5,RV,DNP,PreseasonAug 23[1],2015,,
35,RV,<,NR,Florida,SEC,0-0,4,RV,DNP,PreseasonAug 23[1],2015,,
36,RV,<,NR,NC State,ACC,0-0,4,RV,DNP,PreseasonAug 23[1],2015,,
37,RV,<,NR,Texas,Big 12,0-0,3,RV,DNP,PreseasonAug 23[1],2015,,
38,RV,<,NR,BYU,Ind,0-0,2,RV,DNP,PreseasonAug 23[1],2015,,
39,RV,<,NR,Michigan,Big Ten,0-0,2,RV,DNP,PreseasonAug 23[1],2015,,
40,RV,<,NR,Northern Illinois,MAC,0-0,2,NR,DNP,PreseasonAug 23[1],2015,,
41,RV,<,NR,California,Pac-12,0-0,1,NR,DNP,PreseasonAug 23[1],2015,,
42,RV,<,NR,West Virginia,Big 12,0-0,1,RV,DNP,PreseasonAug 23[1],2015,,
43,RV,<,NR,Western Kentucky,CUSA,0-0,1,NR,DNP,PreseasonAug 23[1],2015,,
44,NR,<,23,Marshall,CUSA,0-0,0,RV,DNP,PreseasonAug 23[1],2015,,
45,NR,<,25,Memphis,AAC,0-0,0,NR,DNP,PreseasonAug 23[1],2015,,
46,NR,<,NR,Air Force,MWC,0-0,0,RV,DNP,PreseasonAug 23[1],2015,,
47,NR,<,NR,Duke,ACC,0-0,0,RV,DNP,PreseasonAug 23[1],2015,,
48,NR,<,NR,Georgia Southern,Sun Belt,0-0,0,RV,DNP,PreseasonAug 23[1],2015,,
49,NR,<,NR,Illinois,Big Ten,0-0,0,RV,DNP,PreseasonAug 23[1],2015,,
50,NR,<,NR,Kentucky,SEC,0-0,0,RV,DNP,PreseasonAug 23[1],2015,,
51,NR,<,NR,Louisiana Tech,CUSA,0-0,0,RV,DNP,PreseasonAug 23[1],2015,,
52,NR,<,NR,Maryland,Big Ten,0-0,0,RV,DNP,PreseasonAug 23[1],2015,,
53,NR,<,NR,Miami (FL),ACC,0-0,0,RV,DNP,PreseasonAug 23[1],2015,,
54,NR,<,NR,Minnesota,Big Ten,0-0,0,RV,DNP,PreseasonAug 23[1],2015,,
55,NR,<,NR,North Carolina,ACC,0-0,0,RV,DNP,PreseasonAug 23[1],2015,,
56,NR,<,NR,South Carolina,SEC,0-0,0,RV,DNP,PreseasonAug 23[1],2015,,
57,NR,<,NR,UCF,AAC,0-0,0,RV,DNP,PreseasonAug 23[1],2015,,
58,NR,<,NR,Utah State,MWC,0-0,0,RV,DNP,PreseasonAug 23[1],2015,,
59,NR,<,NR,Washington,Pac-12,0-0,0,RV,DNP,PreseasonAug 23[1],2015,,
60,1,<,1,Ohio State (61),Big Ten,1-0,1525,*1,W 42-24 A Virginia Tech,Week 1Sep 8[2],2015,,
61,2,<,3,Alabama,SEC,1-0,1420,*2,W 35-17 N #20 Wisconsin (Advocare Classic),Week 1Sep 8[2],2015,,
62,3,<,2,TCU,Big 12,1-0,1365,3,W 23-17 A Minnesota,Week 1Sep 8[2],2015,,
63,4,<,4,Baylor,Big 12,1-0,1252,4,W 56-21 A SMU,Week 1Sep 8[2],2015,,
64,5,<,5,Michigan State,Big Ten,1-0,1198,6,W 37-24 A Western Michigan,Week 1Sep 8[2],2015,,
65,6,<,6,Auburn,SEC,1-0,1166,7,W 31-24 H Louisville,Week 1Sep 8[2],2015,,
66,7,<,7,Oregon,Pac-12,1-0,1081,5,W 61-42 H Eastern Washington,Week 1Sep 8[2],2015,,
67,8,<,8,USC,Pac-12,1-0,1074,10,W 55-6 H Arkansas State,Week 1Sep 8[2],2015,,
68,9,<,11,Notre Dame,Ind,1-0,1061,11,W 38-3 H Texas,Week 1Sep 8[2],2015,,
69,10,<,9,Georgia,SEC,1-0,981,9,W 51-14 H Louisiana-Monroe,Week 1Sep 8[2],2015,,
70,11,<,10,Florida State,ACC,1-0,942,8,W 59-16 H Texas State,Week 1Sep 8[2],2015,,
71,12,<,12,Clemson,ACC,1-0,862,12,W 49-10 H Wofford,Week 1Sep 8[2],2015,,
72,13,<,13,UCLA,Pac-12,1-0,833,13,W 34-16 H Virginia,Week 1Sep 8[2],2015,,
73,14,<,14,LSU,SEC,0-0,653,15,DNP,Week 1Sep 8[2],2015,,
74,15,<,16,Georgia Tech,ACC,1-0,636,16,W 69-6 H Alcorn State,Week 1Sep 8[2],2015,,
75,16,<,NR,Texas A&M,SEC,1-0,629,19,W 38-17 N #15 Arizona State (Advocare Texas Kickoff),Week 1Sep 8[2],2015,,
76,17,<,17,Mississippi,SEC,1-0,600,14,W 76-3 H Tennessee-Martin,Week 1Sep 8[2],2015,,
77,18,<,18,Arkansas,SEC,1-0,480,18,W 48-13 H UTEP,Week 1Sep 8[2],2015,,
78,19,<,19,Oklahoma,Big 12,1-0,469,17,W 41-3 H Akron,Week 1Sep 8[2],2015,,
79,20,<,23,Boise State,MWC,1-0,279,22,W 16-13 H Washington,Week 1Sep 8[2],2015,,
80,21,<,24,Missouri,SEC,1-0,274,21,W 34-3 H Southeast Missouri State,Week 1Sep 8[2],2015,,
81,22,<,22,Arizona,Pac-12,1-0,259,20,W 42-32 H UTSA,Week 1Sep 8[2],2015,,
82,23,<,25,Tennessee,SEC,1-0,169,23,W 59-30 N Bowling Green,Week 1Sep 8[2],2015,,
83,24,<,NR,Utah,Pac-12,1-0,137,25,W 24-17 H Michigan,Week 1Sep 8[2],2015,,
84,25,<,NR,Mississippi State,SEC,1-0,104,RV,W 34-16 A Southern Miss,Week 1Sep 8[2],2015,,
85,RV,<,20,Wisconsin,Big Ten,0-1,79,24,L 35-17 N #3 Alabama (Advocare Classic),Week 1Sep 8[2],2015,,
86,RV,<,NR,BYU,Ind,1-0,74,RV,W 33-28 A Nebraska,Week 1Sep 8[2],2015,,
87,RV,<,NR,Northwestern,Big Ten,1-0,72,RV,W 16-6 H #21 Stanford,Week 1Sep 8[2],2015,,
88,RV,<,15,Arizona State,Pac-12,0-1,49,RV,L 38-17 N Texas A&M (Advocare Texas Kickoff),Week 1Sep 8[2],2015,,
89,RV,<,NR,Oklahoma State,Big 12,1-0,30,RV,W 24-13 A Central Michigan,Week 1Sep 8[2],2015,,
90,RV,<,NR,West Virginia,Big 12,1-0,23,RV,W 44-0 H Georgia Southern,Week 1Sep 8[2],2015,,
91,RV,<,NR,Florida,SEC,1-0,8,RV,W 61-13 H New Mexico State,Week 1Sep 8[2],2015,,
92,RV,<,NR,Temple,AAC,1-0,8,RV,W 27-10 H Penn State,Week 1Sep 8[2],2015,,
93,RV,<,NR,Cincinnati,AAC,1-0,7,NR,W 52-10 H Alabama A&M,Week 1Sep 8[2],2015,,
94,RV,<,NR,Kansas State,Big 12,1-0,7,RV,W 34-0 H South Dakota,Week 1Sep 8[2],2015,,
95,RV,<,NR,Minnesota,Big Ten,0-1,5,RV,L 23-17 H #2 TCU,Week 1Sep 8[2],2015,,
96,RV,<,NR,Louisville,ACC,0-1,4,RV,L 31-24 A #6 Auburn,Week 1Sep 8[2],2015,,
97,RV,<,NR,NC State,ACC,1-0,4,RV,W 49-21 H Troy,Week 1Sep 8[2],2015,,
98,RV,<,NR,Western Kentucky,CUSA,1-0,3,NR,W 14-12 A Vanderbilt,Week 1Sep 8[2],2015,,
99,RV,<,NR,California,Pac-12,1-0,2,RV,W 73-14 H Grambling State,Week 1Sep 8[2],2015,,
100,RV,<,21,Stanford,Pac-12,0-1,1,RV,L 16-6 A Northwestern,Week 1Sep 8[2],2015,,
101,NR,<,NR,Duke,ACC,1-0,0,RV,W 37-7 A Tulane,Week 1Sep 8[2],2015,,
102,NR,<,NR,Illinois,Big Ten,1-0,0,RV,W 52-3 H Kent State,Week 1Sep 8[2],2015,,
103,NR,<,NR,Louisiana Tech,CUSA,1-0,0,RV,W 62-15 H Southern,Week 1Sep 8[2],2015,,
104,NR,<,NR,Marshall,CUSA,1-0,0,RV,W 41-31 H Purdue,Week 1Sep 8[2],2015,,
105,NR,<,NR,Maryland,Big Ten,1-0,0,RV,W 50-21 H Richmond,Week 1Sep 8[2],2015,,
106,NR,<,NR,Memphis,AAC,1-0,0,RV,W 63-7 H Missouri State,Week 1Sep 8[2],2015,,
107,NR,<,NR,Miami (FL),ACC,1-0,0,RV,W 45-0 H Bethune-Cookman,Week 1Sep 8[2],2015,,
108,NR,<,NR,Nebraska,Big Ten,0-1,0,RV,L 33-28 H BYU,Week 1Sep 8[2],2015,,
109,NR,<,NR,Pittsburgh,ACC,1-0,0,RV,W 45-37 H Youngstown State,Week 1Sep 8[2],2015,,
110,NR,<,NR,South Carolina,SEC,1-0,0,RV,W 17-13 N North Carolina,Week 1Sep 8[2],2015,,
111,1,<,1,Ohio State (59),Big Ten,2-0,1523,*1,W 38-0 H Hawaii,Week 2Sep 13[3],2015,,
112,2,<,2,Alabama,SEC,2-0,1423,*2,W 37-10 H Middle Tennessee,Week 2Sep 13[3],2015,,
113,3,<,3,TCU,Big 12,2-0,1366,3,W 70-7 H Stephen F. Austin,Week 2Sep 13[3],2015,,
114,4,<,5,Michigan State (2),Big Ten,2-0,1354,4,W 31-28 H #7 Oregon,Week 2Sep 13[3],2015,,
115,5,<,4,Baylor,Big 12,2-0,1240,5,W 66-31 H Lamar,Week 2Sep 13[3],2015,,
116,6,<,8,USC,Pac-12,2-0,1146,7,W 59-9 H Idaho,Week 2Sep 13[3],2015,,
117,7,<,10,Georgia,SEC,2-0,1031,8,W 31-14 A Vanderbilt,Week 2Sep 13[3],2015,,
118,8,<,9,Notre Dame,Ind,2-0,1012,10,W 34-27 A Virginia,Week 2Sep 13[3],2015,,
119,9,<,11,Florida State,ACC,2-0,973,6,W 34-14 H South Florida,Week 2Sep 13[3],2015,,
120,10,<,13,UCLA,Pac-12,2-0,928,12,W 37-3 A UNLV,Week 2Sep 13[3],2015,,
121,11,<,12,Clemson,ACC,2-0,926,9,W 41-10 H Appalachian State,Week 2Sep 13[3],2015,,
122,12,<,7,Oregon,Pac-12,1-1,833,13,L 31-28 A #5 Michigan State,Week 2Sep 13[3],2015,,
123,13,<,14,LSU,SEC,1-0,787,14,W 21-19 A #25 Mississippi State,Week 2Sep 13[3],2015,,
124,14,<,15,Georgia Tech,ACC,2-0,716,16,W 65-10 H Tulane,Week 2Sep 13[3],2015,,
125,15,<,17,Mississippi,SEC,2-0,713,11,W 73-21 H Fresno State,Week 2Sep 13[3],2015,,
126,16,<,19,Oklahoma,Big 12,2-0,705,17,W 31-24 (2OT) A #23 Tennessee,Week 2Sep 13[3],2015,,
127,17,<,16,Texas A&M,SEC,2-0,703,18,W 56-23 H Ball State,Week 2Sep 13[3],2015,,
128,18,<,6,Auburn,SEC,2-0,519,15,W 27-20 (1OT) H Jacksonville State,Week 2Sep 13[3],2015,,
129,19,<,NR,BYU,Ind,2-0,349,22,W 35-24 H #20 Boise State,Week 2Sep 13[3],2015,,
130,20,<,22,Arizona,Pac-12,2-0,342,19,W 44-20 A Nevada,Week 2Sep 13[3],2015,,
131,21,<,24,Utah,Pac-12,2-0,290,21,W 24-14 H Utah State,Week 2Sep 13[3],2015,,
132,22,<,21,Missouri,SEC,2-0,264,20,W 27-20 A Arkansas State,Week 2Sep 13[3],2015,,
133,23,<,NR,Northwestern,Big Ten,2-0,170,24,W 41-0 H Eastern Illinois,Week 2Sep 13[3],2015,,
134,24,<,NR,Wisconsin,Big Ten,1-1,158,23,W 58-0 H Miami (OH),Week 2Sep 13[3],2015,,
135,25,<,NR,Oklahoma State,Big 12,2-0,48,25,W 32-8 H Central Arkansas,Week 2Sep 13[3],2015,,
136,RV,<,NR,Temple,AAC,2-0,38,RV,W 34-26 A Cincinnati,Week 2Sep 13[3],2015,,
137,RV,<,NR,West Virginia,Big 12,2-0,37,RV,W 41-17 H Liberty,Week 2Sep 13[3],2015,,
138,RV,<,25,Mississippi State,SEC,1-1,32,RV,L 21-19 H #14 LSU,Week 2Sep 13[3],2015,,
139,RV,<,23,Tennessee,SEC,1-1,30,RV,L 31-24 (2OT) H #19 Oklahoma,Week 2Sep 13[3],2015,,
140,RV,<,NR,Toledo,MAC,1-0,29,RV,W 16-12 A #18 Arkansas,Week 2Sep 13[3],2015,,
141,RV,<,NR,Kansas State,Big 12,2-0,26,RV,W 30-3 A UTSA,Week 2Sep 13[3],2015,,
142,RV,<,NR,Arizona State,Pac-12,1-1,20,RV,W 35-21 H Cal Poly,Week 2Sep 13[3],2015,,
143,RV,<,20,Boise State,MWC,1-1,16,RV,L 35-24 A BYU,Week 2Sep 13[3],2015,,
144,RV,<,NR,Houston,AAC,2-0,16,RV,W 34-31 A Louisville,Week 2Sep 13[3],2015,,
145,RV,<,NR,NC State,ACC,2-0,14,RV,W 35-0 H Eastern Kentucky,Week 2Sep 13[3],2015,,
146,RV,<,NR,Florida,SEC,2-0,12,RV,W 31-24 H East Carolina,Week 2Sep 13[3],2015,,
147,RV,<,NR,Minnesota,Big Ten,1-1,9,RV,W 23-20 (1OT) A Colorado State,Week 2Sep 13[3],2015,,
148,RV,<,18,Arkansas,SEC,1-1,6,RV,L 16-12 H Toledo,Week 2Sep 13[3],2015,,
149,RV,<,NR,California,Pac-12,2-0,5,RV,W 35-7 H San Diego State,Week 2Sep 13[3],2015,,
150,RV,<,NR,Iowa,Big Ten,2-0,5,RV,W 31-17 A Iowa State,Week 2Sep 13[3],2015,,
151,RV,<,NR,Miami (FL),ACC,2-0,3,RV,W 44-20 A Florida Atlantic,Week 2Sep 13[3],2015,,
152,RV,<,NR,Stanford,Pac-12,1-1,3,NR,W 31-7 H UCF,Week 2Sep 13[3],2015,,
153,RV,<,NR,Virginia Tech,ACC,1-1,2,NR,W 42-3 H Furman,Week 2Sep 13[3],2015,,
154,RV,<,NR,Western Kentucky,CUSA,2-0,2,RV,W 41-38 H Louisiana Tech,Week 2Sep 13[3],2015,,
155,RV,<,NR,Duke,ACC,2-0,1,RV,W 55-0 H North Carolina Central,Week 2Sep 13[3],2015,,
156,NR,<,NR,Illinois,Big Ten,2-0,0,RV,W 44-0 H Western Illinois,Week 2Sep 13[3],2015,,
157,NR,<,NR,Kentucky,SEC,2-0,0,RV,W 26-22 A South Carolina,Week 2Sep 13[3],2015,,
158,NR,<,NR,Memphis,AAC,2-0,0,RV,W 55-23 A Kansas,Week 2Sep 13[3],2015,,
159,NR,<,NR,Michigan,Big Ten,1-1,0,RV,W 35-7 H Oregon State,Week 2Sep 13[3],2015,,
160,NR,<,NR,Nebraska,Big Ten,1-1,0,RV,W 48-9 H South Alabama,Week 2Sep 13[3],2015,,
161,NR,<,NR,Pittsburgh,ACC,2-0,0,RV,W 24-7 A Akron,Week 2Sep 13[3],2015,,
162,NR,<,NR,South Carolina,SEC,1-1,0,RV,L 26-22 H Kentucky,Week 2Sep 13[3],2015,,
163,1,<,1,Ohio State (42),Big Ten,3-0,1490,*1,W 20-13 H Northern Illinois,Week 3Sep 20[4],2015,0.0,
164,2,<,4,Michigan State (7),Big Ten,3-0,1415,*3,W 35-21 H Air Force,Week 3Sep 20[4],2015,3.0,
165,3,<,3,TCU,Big 12,3-0,1345,2,W 56-37 H SMU,Week 3Sep 20[4],2015,0.0,
166,3,<,15,Mississippi (11),SEC,3-0,1345,5,W 43-37 A #2 Alabama,Week 3Sep 20[4],2015,14.0,
167,5,<,5,Baylor,Big 12,2-0,1213,4,DNP,Week 3Sep 20[4],2015,-1.0,
168,6,<,8,Notre Dame,Ind,3-0,1183,8,W 30-22 H #14 Georgia Tech,Week 3Sep 20[4],2015,3.0,
169,7,<,7,Georgia,SEC,3-0,1162,6,W 52-20 H South Carolina,Week 3Sep 20[4],2015,3.0,
170,8,<,13,LSU (1),SEC,2-0,1088,9,W 45-21 H #18 Auburn,Week 3Sep 20[4],2015,6.0,
171,9,<,10,UCLA,Pac-12,3-0,981,11,W 24-23 H #19 BYU,Week 3Sep 20[4],2015,4.0,
172,10,<,9,Florida State,ACC,3-0,953,7,W 14-0 A Boston College,Week 3Sep 20[4],2015,1.0,
173,11,<,11,Clemson,ACC,3-0,903,10,W 20-17 A Louisville,Week 3Sep 20[4],2015,1.0,
174,12,<,2,Alabama,SEC,2-1,882,12,L 43-37 H #15 Mississippi,Week 3Sep 20[4],2015,-10.0,
175,13,<,12,Oregon,Pac-12,2-1,855,13,W 61-28 H Georgia State,Week 3Sep 20[4],2015,-6.0,
176,14,<,17,Texas A&M,SEC,3-0,798,15,W 44-27 H Nevada,Week 3Sep 20[4],2015,2.0,
177,15,<,16,Oklahoma,Big 12,3-0,782,14,W 52-38 H Tulsa,Week 3Sep 20[4],2015,4.0,
178,16,<,20,Arizona,Pac-12,3-0,488,16,W 77-13 H Northern Arizona,Week 3Sep 20[4],2015,6.0,
179,17,<,23,Northwestern,Big Ten,3-0,469,19,W 19-10 A Duke,Week 3Sep 20[4],2015,9.0,
180,18,<,21,Utah,Pac-12,3-0,439,17,W 45-24 A Fresno State,Week 3Sep 20[4],2015,6.0,
181,19,<,6,USC,Pac-12,2-1,367,18,L 41-31 H Stanford,Week 3Sep 20[4],2015,-11.0,
182,20,<,14,Georgia Tech,ACC,2-1,352,20,L 30-22 A #8 Notre Dame,Week 3Sep 20[4],2015,-5.0,
183,21,<,NR,Stanford,Pac-12,2-1,288,24,W 41-31 A #6 USC,Week 3Sep 20[4],2015,5.0,
184,22,<,19,BYU,Ind,2-1,174,RV,L 24-23 A #10 UCLA,Week 3Sep 20[4],2015,4.0,
185,22,<,24,Wisconsin,Big Ten,2-1,174,21,W 28-3 H Troy,Week 3Sep 20[4],2015,4.0,
186,24,<,25,Oklahoma State,Big 12,3-0,149,22,W 69-14 H UTSA,Week 3Sep 20[4],2015,2.0,
187,25,<,22,Missouri,SEC,3-0,135,23,W 9-6 H Connecticut,Week 3Sep 20[4],2015,-4.0,
188,RV,<,NR,Mississippi State,SEC,2-1,52,RV,W 62-13 H Northwestern State,Week 3Sep 20[4],2015,-1.0,
189,RV,<,NR,West Virginia,Big 12,2-0,48,RV,DNP,Week 3Sep 20[4],2015,0.0,
190,RV,<,NR,Tennessee,SEC,2-1,45,RV,W 55-10 H Western Carolina,Week 3Sep 20[4],2015,-3.0,
191,RV,<,NR,California,Pac-12,3-0,38,RV,W 45-44 A Texas,Week 3Sep 20[4],2015,0.0,
192,RV,<,NR,Toledo,MAC,2-0,36,RV,W 30-23 (2OT) H Iowa State,Week 3Sep 20[4],2015,0.0,
193,RV,<,NR,Arizona State,Pac-12,2-1,25,RV,W 34-10 H New Mexico,Week 3Sep 20[4],2015,0.0,
194,RV,<,NR,Houston,AAC,2-0,22,RV,DNP,Week 3Sep 20[4],2015,0.0,
195,RV,<,18,Auburn,SEC,2-1,20,25,L 45-21 A #13 LSU,Week 3Sep 20[4],2015,-20.0,
196,RV,<,NR,Temple,AAC,3-0,20,RV,W 25-23 A Massachusetts,Week 3Sep 20[4],2015,0.0,
197,RV,<,NR,Texas Tech,Big 12,3-0,20,RV,W 35-24 A Arkansas,Week 3Sep 20[4],2015,0.0,
198,RV,<,NR,Boise State,MWC,2-1,17,RV,W 52-0 H Idaho State,Week 3Sep 20[4],2015,-6.0,
199,RV,<,NR,Miami (FL),ACC,3-0,13,RV,W 36-33 (1OT) H Nebraska,Week 3Sep 20[4],2015,0.0,
200,RV,<,NR,Iowa,Big Ten,3-0,10,RV,W 27-24 H Pittsburgh,Week 3Sep 20[4],2015,0.0,
201,RV,<,NR,Kansas State,Big 12,3-0,8,RV,W 39-33 (3OT) H Louisiana Tech,Week 3Sep 20[4],2015,0.0,
202,RV,<,NR,Florida,SEC,3-0,7,RV,W 14-9 A Kentucky,Week 3Sep 20[4],2015,0.0,
203,RV,<,NR,NC State,ACC,3-0,5,RV,W 38-14 A Old Dominion,Week 3Sep 20[4],2015,0.0,
204,RV,<,NR,Minnesota,Big Ten,2-1,4,RV,W 10-7 H Kent State,Week 3Sep 20[4],2015,0.0,
205,RV,<,NR,Virginia Tech,ACC,2-1,4,RV,W 51-24 A Purdue,Week 3Sep 20[4],2015,0.0,
206,RV,<,NR,Memphis,AAC,3-0,1,RV,W 44-41 A Bowling Green,Week 3Sep 20[4],2015,0.0,
207,NR,<,NR,Boston College,ACC,2-1,0,RV,L 14-0 H #9 Florida State,Week 3Sep 20[4],2015,0.0,
208,NR,<,NR,Northern Illinois,MAC,2-1,0,RV,L 20-13 A #1 Ohio State,Week 3Sep 20[4],2015,0.0,
209,1,<,1,Ohio State (45),Big Ten,4-0,1482,*1,W 38-12 H Western Michigan,Week 4Sep 27[5],2015,0.0,
210,2,<,2,Michigan State (5),Big Ten,4-0,1397,*2,W 30-10 H Central Michigan,Week 4Sep 27[5],2015,2.0,
211,3,<,3,Mississippi (10),SEC,4-0,1349,*5,W 27-16 H Vanderbilt,Week 4Sep 27[5],2015,12.0,
212,4,<,3,TCU,Big 12,4-0,1254,3,W 55-52 A Texas Tech,Week 4Sep 27[5],2015,-1.0,
213,5,<,5,Baylor,Big 12,3-0,1196,4,W 70-17 H Rice,Week 4Sep 27[5],2015,0.0,
214,6,<,6,Notre Dame,Ind,4-0,1163,7,W 62-27 H Massachusetts,Week 4Sep 27[5],2015,2.0,
215,7,<,9,UCLA,Pac-12,4-0,1156,10,W 56-30 A #16 Arizona,Week 4Sep 27[5],2015,3.0,
216,8,<,7,Georgia,SEC,4-0,1147,6,W 48-6 H Southern,Week 4Sep 27[5],2015,-1.0,
217,9,<,8,LSU,SEC,3-0,1075,8,W 34-24 A Syracuse,Week 4Sep 27[5],2015,4.0,
218,10,<,18,Utah (1),Pac-12,4-0,1034,12,W 62-20 A #13 Oregon,Week 4Sep 27[5],2015,11.0,
219,11,<,10,Florida State,ACC,3-0,888,9,DNP,Week 4Sep 27[5],2015,-2.0,
220,12,<,11,Clemson,ACC,3-0,853,11,DNP,Week 4Sep 27[5],2015,-1.0,
221,13,<,12,Alabama,SEC,3-1,850,13,W 34-0 H Louisiana-Monroe,Week 4Sep 27[5],2015,-11.0,
222,14,<,14,Texas A&M,SEC,4-0,776,15,W 28-21 (1OT) N Arkansas (Southwest Classic),Week 4Sep 27[5],2015,3.0,
223,15,<,15,Oklahoma,Big 12,3-0,747,14,DNP,Week 4Sep 27[5],2015,1.0,
224,16,<,17,Northwestern,Big Ten,4-0,566,17,W 24-19 H Ball State,Week 4Sep 27[5],2015,7.0,
225,17,<,19,USC,Pac-12,3-1,509,16,W 42-14 A Arizona State,Week 4Sep 27[5],2015,-11.0,
226,18,<,21,Stanford,Pac-12,3-1,486,20,W 42-24 A Oregon State,Week 4Sep 27[5],2015,8.0,
227,19,<,22,Wisconsin,Big Ten,3-1,309,18,W 28-0 H Hawaii,Week 4Sep 27[5],2015,5.0,
228,20,<,24,Oklahoma State,Big 12,4-0,281,19,W 30-27 A Texas,Week 4Sep 27[5],2015,5.0,
229,21,<,NR,Mississippi State,SEC,3-1,211,22,W 17-9 A Auburn,Week 4Sep 27[5],2015,5.0,
230,22,<,NR,Michigan,Big Ten,3-1,209,RV,W 31-0 H #22 BYU,Week 4Sep 27[5],2015,4.0,
231,23,<,NR,West Virginia,Big 12,3-0,179,21,W 45-6 H Maryland,Week 4Sep 27[5],2015,3.0,
232,24,<,NR,California,Pac-12,4-0,149,24,W 30-24 A Washington,Week 4Sep 27[5],2015,2.0,
233,25,<,NR,Florida,SEC,4-0,140,23,W 28-27 H Tennessee,Week 4Sep 27[5],2015,1.0,
234,RV,<,NR,Toledo,MAC,3-0,68,RV,W 37-7 H Arkansas State,Week 4Sep 27[5],2015,0.0,
235,RV,<,13,Oregon,Pac-12,2-2,64,24,L 62-20 H #18 Utah,Week 4Sep 27[5],2015,-14.0,
236,RV,<,16,Arizona,Pac-12,3-1,48,RV,L 56-30 H #9 UCLA,Week 4Sep 27[5],2015,-6.0,
237,RV,<,NR,Boise State,MWC,3-1,38,RV,W 56-14 A Virginia,Week 4Sep 27[5],2015,0.0,
238,RV,<,NR,Iowa,Big Ten,4-0,37,RV,W 62-16 H North Texas,Week 4Sep 27[5],2015,0.0,
239,RV,<,NR,Texas Tech,Big 12,3-1,36,RV,L 55-52 H #3 TCU,Week 4Sep 27[5],2015,0.0,
240,RV,<,NR,Houston,AAC,3-0,23,RV,W 59-14 H Texas State,Week 4Sep 27[5],2015,0.0,
