,Rank,Rank.1,Rank.2,Team (FPV),Conf,Rec,Pts,CP,Last Week,Date,Year,3WT,CFP
44,NR,<,NR,BYU,Ind,0-0,0,RV,DNP,PreseasonAug 21[1],2016,,
45,NR,<,NR,Duke,ACC,0-0,0,RV,DNP,PreseasonAug 21[1],2016,,
46,NR,<,NR,Indiana,Big Ten,0-0,0,RV,DNP,PreseasonAug 21[1],2016,,
47,NR,<,NR,Marshall,CUSA,0-0,0,RV,DNP,PreseasonAug 21[1],2016,,
48,NR,<,NR,Memphis,AAC,0-0,0,RV,DNP,PreseasonAug 21[1],2016,,
49,NR,<,NR,Mississippi State,SEC,0-0,0,RV,DNP,PreseasonAug 21[1],2016,,
50,NR,<,NR,Northern Illinois,MAC,0-0,0,RV,DNP,PreseasonAug 21[1],2016,,
51,1,<,1,Alabama (54),SEC,1-0,1518,*1,W 52-6 N #20 USC,Week 1Sep 6[2],2016,,
52,2,<,2,Clemson (2),ACC,1-0,1416,2,W 19-13 A Auburn,Week 1Sep 6[2],2016,,
53,3,<,4,Florida State (4),ACC,1-0,1413,3,W 45-34 N #11 Mississippi,Week 1Sep 6[2],2016,,
54,4,<,6,Ohio State,Big Ten,1-0,1324,4,W 77-10 H Bowling Green,Week 1Sep 6[2],2016,,
55,5,<,7,Michigan (1),Big Ten,1-0,1261,6,W 63-3 H Hawaii,Week 1Sep 6[2],2016,,
56,6,<,15,Houston,AAC,1-0,1243,7,W 33-23 N #3 Oklahoma,Week 1Sep 6[2],2016,,
57,7,<,8,Stanford,Pac-12,1-0,1140,5,W 26-13 H Kansas State,Week 1Sep 6[2],2016,,
58,8,<,14,Washington,Pac-12,1-0,884,11,W 48-13 H Rutgers,Week 1Sep 6[2],2016,,
59,9,<,18,Georgia,SEC,1-0,877,9,W 33-24 N #22 North Carolina,Week 1Sep 6[2],2016,,
60,10,<,NR,Wisconsin,Big Ten,1-0,759,16,W 16-14 N #5 LSU,Week 1Sep 6[2],2016,,
61,11,<,NR,Texas,Big 12,1-0,743,20,W 50-47 (2OT) H #10 Notre Dame,Week 1Sep 6[2],2016,,
62,12,<,12,Michigan State,Big Ten,1-0,722,8,W 28-13 H Furman,Week 1Sep 6[2],2016,,
63,13,<,19,Louisville,ACC,1-0,686,15,W 70-14 H Charlotte,Week 1Sep 6[2],2016,,
64,14,<,3,Oklahoma,Big 12,0-1,664,13,L 33-23 N #15 Houston,Week 1Sep 6[2],2016,,
65,15,<,13,TCU,Big 12,1-0,635,12,W 59-41 H South Dakota State,Week 1Sep 6[2],2016,,
66,16,<,17,Iowa,Big Ten,1-0,588,10,W 45-21 H Miami (OH),Week 1Sep 6[2],2016,,
67,17,<,9,Tennessee,SEC,1-0,573,14,W 20-13 (1OT) H Appalachian State,Week 1Sep 6[2],2016,,
68,18,<,10,Notre Dame,Ind,0-1,528,21,L 50-47 (2OT) A Texas,Week 1Sep 6[2],2016,,
69,19,<,11,Mississippi,SEC,0-1,493,18,L 45-34 N #4 Florida State,Week 1Sep 6[2],2016,,
70,20,<,NR,Texas A&M,SEC,1-0,477,24,W 31-24 (1OT) H #16 UCLA,Week 1Sep 6[2],2016,,
71,21,<,5,LSU,SEC,0-1,423,22,L 16-14 N Wisconsin,Week 1Sep 6[2],2016,,
72,22,<,21,Oklahoma State,Big 12,1-0,409,17,W 61-7 H Southeastern Louisiana,Week 1Sep 6[2],2016,,
73,23,<,23,Baylor,Big 12,1-0,296,19,W 55-7 H Northwestern State,Week 1Sep 6[2],2016,,
74,24,<,24,Oregon,Pac-12,1-0,242,23,W 53-28 H UC Davis,Week 1Sep 6[2],2016,,
75,25,<,NR,Miami (FL),ACC,1-0,137,RV,W 70-3 H Florida A&M,Week 1Sep 6[2],2016,,
76,RV,<,25,Florida,SEC,1-0,117,25,W 24-7 H Massachusetts,Week 1Sep 6[2],2016,,
77,RV,<,16,UCLA,Pac-12,0-1,62,RV,L 31-24 (1OT) A Texas A&M,Week 1Sep 6[2],2016,,
78,RV,<,NR,Boise State,MWC,1-0,50,RV,W 45-10 A Louisiana-Lafayette,Week 1Sep 6[2],2016,,
79,RV,<,NR,Utah,Pac-12,1-0,43,RV,W 24-0 H Southern Utah,Week 1Sep 6[2],2016,,
80,RV,<,NR,San Diego State,MWC,1-0,37,RV,W 31-0 H New Hampshire,Week 1Sep 6[2],2016,,
81,RV,<,22,North Carolina,ACC,0-1,23,RV,L 33-24 N #18 Georgia,Week 1Sep 6[2],2016,,
82,RV,<,NR,Auburn,SEC,0-1,13,RV,L 19-13 H #2 Clemson,Week 1Sep 6[2],2016,,
83,RV,<,NR,Nebraska,Big Ten,1-0,13,RV,W 43-10 H Fresno State,Week 1Sep 6[2],2016,,
84,RV,<,NR,Pittsburgh,ACC,1-0,7,RV,W 28-7 H Villanova,Week 1Sep 6[2],2016,,
85,RV,<,NR,BYU,Ind,1-0,5,RV,W 18-16 N Arizona,Week 1Sep 6[2],2016,,
86,RV,<,NR,Navy,AAC,1-0,2,RV,W 52-16 H Fordham,Week 1Sep 6[2],2016,,
87,RV,<,NR,Colorado,Pac-12,1-0,1,RV,W 44-7 N Colorado State,Week 1Sep 6[2],2016,,
88,RV,<,NR,West Virginia,Big 12,1-0,1,RV,W 26-11 H Missouri,Week 1Sep 6[2],2016,,
89,NR,<,20,USC,Pac-12,0-1,0,RV,L 52-6 N #1 Alabama,Week 1Sep 6[2],2016,,
90,NR,<,NR,Appalachian State,Sun Belt,0-1,0,RV,L 20-13 (1OT) A #9 Tennessee,Week 1Sep 6[2],2016,,
91,NR,<,NR,Arkansas,SEC,1-0,0,RV,W 21-20 H Louisiana Tech,Week 1Sep 6[2],2016,,
92,NR,<,NR,Duke,ACC,1-0,0,RV,W 49-6 H North Carolina Central,Week 1Sep 6[2],2016,,
93,NR,<,NR,NC State,ACC,1-0,0,RV,W 48-14 H William & Mary,Week 1Sep 6[2],2016,,
94,NR,<,NR,South Alabama,Sun Belt,1-0,0,RV,W 21-20 A Mississippi State,Week 1Sep 6[2],2016,,
95,NR,<,NR,South Florida,AAC,1-0,0,RV,W 56-20 H Towson,Week 1Sep 6[2],2016,,
96,NR,<,NR,Southern Miss,CUSA,1-0,0,RV,W 44-35 A Kentucky,Week 1Sep 6[2],2016,,
97,NR,<,NR,Toledo,MAC,1-0,0,RV,W 31-10 A Arkansas State,Week 1Sep 6[2],2016,,
98,NR,<,NR,Western Kentucky,CUSA,1-0,0,RV,W 46-14 H Rice,Week 1Sep 6[2],2016,,
99,1,<,1,Alabama (56),SEC,2-0,1520,*1,W 38-10 H Western Kentucky,Week 2Sep 11[3],2016,0.0,
100,2,<,3,Florida State (4),ACC,2-0,1437,*2,W 52-8 H Charleston Southern,Week 2Sep 11[3],2016,2.0,
101,3,<,4,Ohio State,Big Ten,2-0,1359,4,W 48-3 H Tulsa,Week 2Sep 11[3],2016,3.0,
102,4,<,5,Michigan (1),Big Ten,2-0,1298,5,W 51-14 H UCF,Week 2Sep 11[3],2016,3.0,
103,5,<,2,Clemson,ACC,2-0,1284,*3,W 30-24 H Troy,Week 2Sep 11[3],2016,-3.0,
104,6,<,6,Houston,AAC,2-0,1264,7,W 42-0 H Lamar,Week 2Sep 11[3],2016,9.0,
105,7,<,7,Stanford,Pac-12,1-0,1137,6,DNP,Week 2Sep 11[3],2016,1.0,
106,8,<,8,Washington,Pac-12,2-0,983,9,W 59-14 H Idaho,Week 2Sep 11[3],2016,6.0,
107,9,<,10,Wisconsin,Big Ten,2-0,893,12,W 54-10 H Akron,Week 2Sep 11[3],2016,17.0,
108,10,<,13,Louisville,ACC,2-0,890,10,W 62-28 A Syracuse,Week 2Sep 11[3],2016,9.0,
109,11,<,11,Texas,Big 12,2-0,872,16,W 41-7 H UTEP,Week 2Sep 11[3],2016,15.0,
110,12,<,12,Michigan State,Big Ten,1-0,747,8,DNP,Week 2Sep 11[3],2016,0.0,
111,13,<,16,Iowa,Big Ten,2-0,694,11,W 42-3 H Iowa State,Week 2Sep 11[3],2016,4.0,
112,14,<,14,Oklahoma,Big 12,1-1,686,14,W 59-17 H Louisiana-Monroe,Week 2Sep 11[3],2016,-11.0,
113,15,<,17,Tennessee,SEC,2-0,665,15,W 45-24 N Virginia Tech (Battle at Bristol),Week 2Sep 11[3],2016,-6.0,
114,16,<,9,Georgia,SEC,2-0,584,13,W 26-24 H Nicholls State,Week 2Sep 11[3],2016,2.0,
115,17,<,20,Texas A&M,SEC,2-0,564,20,W 67-0 H Prairie View A&M,Week 2Sep 11[3],2016,9.0,
116,18,<,18,Notre Dame,Ind,1-1,526,18,W 39-10 H Nevada,Week 2Sep 11[3],2016,-8.0,
117,19,<,19,Mississippi,SEC,1-1,473,17,W 38-13 H Wofford,Week 2Sep 11[3],2016,-8.0,
118,20,<,21,LSU,SEC,1-1,391,22,W 34-13 H Jacksonville State,Week 2Sep 11[3],2016,-15.0,
119,21,<,23,Baylor,Big 12,2-0,305,19,W 40-13 H SMU,Week 2Sep 11[3],2016,2.0,
120,22,<,24,Oregon,Pac-12,2-0,292,21,W 44-26 H Virginia,Week 2Sep 11[3],2016,2.0,
121,23,<,NR,Florida,SEC,2-0,205,23,W 45-7 H Kentucky,Week 2Sep 11[3],2016,2.0,
122,24,<,NR,Arkansas,SEC,2-0,198,24,W 41-38 (2OT) A #15 TCU,Week 2Sep 11[3],2016,2.0,
123,25,<,25,Miami (FL),ACC,2-0,197,25,W 38-10 H Florida Atlantic,Week 2Sep 11[3],2016,1.0,
124,RV,<,15,TCU,Big 12,1-1,62,RV,L 41-38 (2OT) H Arkansas,Week 2Sep 11[3],2016,-13.0,
125,RV,<,NR,Utah,Pac-12,2-0,62,RV,W 20-19 H BYU,Week 2Sep 11[3],2016,0.0,
126,RV,<,NR,San Diego State,MWC,2-0,51,RV,W 45-40 H California,Week 2Sep 11[3],2016,0.0,
127,RV,<,NR,UCLA,Pac-12,1-1,47,RV,W 42-21 H UNLV,Week 2Sep 11[3],2016,-10.0,
128,RV,<,NR,Boise State,MWC,2-0,42,RV,W 31-28 H Washington State,Week 2Sep 11[3],2016,0.0,
129,RV,<,NR,Pittsburgh,ACC,2-0,39,RV,W 42-39 H Penn State,Week 2Sep 11[3],2016,0.0,
130,RV,<,22,Oklahoma State,Big 12,1-1,22,RV,L 30-27 H Central Michigan,Week 2Sep 11[3],2016,-5.0,
131,RV,<,NR,Nebraska,Big Ten,2-0,11,RV,W 52-17 H Wyoming,Week 2Sep 11[3],2016,0.0,
132,RV,<,NR,North Carolina,ACC,1-1,10,RV,W 48-23 H Illinois,Week 2Sep 11[3],2016,-4.0,
133,RV,<,NR,Auburn,SEC,1-1,7,RV,W 51-14 H Arkansas State,Week 2Sep 11[3],2016,0.0,
134,RV,<,NR,Central Michigan,MAC,2-0,4,RV,W 30-27 A #22 Oklahoma State,Week 2Sep 11[3],2016,0.0,
135,RV,<,NR,Colorado,Pac-12,2-0,2,RV,W 56-7 H Idaho State,Week 2Sep 11[3],2016,0.0,
136,RV,<,NR,Arizona State,Pac-12,2-0,1,RV,W 68-55 H Texas Tech,Week 2Sep 11[3],2016,0.0,
137,RV,<,NR,Cincinnati,AAC,2-0,1,NR,W 38-20 A Purdue,Week 2Sep 11[3],2016,0.0,
138,NR,<,NR,Appalachian State,Sun Belt,1-1,0,RV,W 31-7 H Old Dominion,Week 2Sep 11[3],2016,0.0,
139,NR,<,NR,Georgia Southern,Sun Belt,2-0,0,RV,W 24-9 A South Alabama,Week 2Sep 11[3],2016,0.0,
140,NR,<,NR,Marshall,CUSA,1-0,0,RV,W 62-0 H Morgan State,Week 2Sep 11[3],2016,0.0,
141,NR,<,NR,Minnesota,Big Ten,2-0,0,RV,W 58-28 H Indiana State,Week 2Sep 11[3],2016,0.0,
142,NR,<,NR,Navy,AAC,2-0,0,RV,W 28-24 H Connecticut,Week 2Sep 11[3],2016,0.0,
143,NR,<,NR,South Florida,AAC,2-0,0,RV,W 48-17 H Northern Illinois,Week 2Sep 11[3],2016,0.0,
144,NR,<,NR,Toledo,MAC,2-0,0,RV,W 45-3 H Maine,Week 2Sep 11[3],2016,0.0,
145,NR,<,NR,West Virginia,Big 12,2-0,0,RV,W 38-21 H Youngstown State,Week 2Sep 11[3],2016,0.0,
146,NR,<,NR,Western Kentucky,CUSA,1-1,0,RV,L 38-10 A #1 Alabama,Week 2Sep 11[3],2016,0.0,
147,NR,<,NR,Western Michigan,MAC,2-0,0,RV,W 70-21 H North Carolina Central,Week 2Sep 11[3],2016,0.0,
148,1,<,1,Alabama (50),SEC,3-0,1510,*1,W 48-43 A #19 Mississippi,Week 3Sep 18[4],2016,0.0,
149,2,<,3,Ohio State (4),Big Ten,3-0,1442,*2,W 45-24 A #14 Oklahoma,Week 3Sep 18[4],2016,2.0,
150,3,<,10,Louisville (6),ACC,3-0,1406,4,W 63-20 H #2 Florida State,Week 3Sep 18[4],2016,10.0,
151,4,<,4,Michigan (1),Big Ten,3-0,1277,5,W 45-28 H Colorado,Week 3Sep 18[4],2016,1.0,
152,5,<,5,Clemson,ACC,3-0,1258,*3,W 59-0 H South Carolina State,Week 3Sep 18[4],2016,-3.0,
153,6,<,6,Houston,AAC,3-0,1245,7,W 40-16 A Cincinnati,Week 3Sep 18[4],2016,0.0,
154,7,<,7,Stanford,Pac-12,2-0,1195,6,W 27-10 H USC,Week 3Sep 18[4],2016,0.0,
155,8,<,12,Michigan State,Big Ten,2-0,1084,8,W 36-28 A #18 Notre Dame,Week 3Sep 18[4],2016,4.0,
156,9,<,8,Washington,Pac-12,3-0,1040,9,W 41-3 H Portland State,Week 3Sep 18[4],2016,-1.0,
157,10,<,17,Texas A&M,SEC,3-0,890,13,W 29-16 A Auburn,Week 3Sep 18[4],2016,10.0,
158,11,<,9,Wisconsin,Big Ten,3-0,828,10,W 23-17 H Georgia State,Week 3Sep 18[4],2016,-1.0,
159,12,<,16,Georgia,SEC,3-0,726,11,W 28-27 A Missouri,Week 3Sep 18[4],2016,-3.0,
160,13,<,2,Florida State,ACC,2-1,722,14,L 63-20 A #10 Louisville,Week 3Sep 18[4],2016,-10.0,
161,14,<,15,Tennessee,SEC,3-0,707,12,W 28-19 H Ohio,Week 3Sep 18[4],2016,3.0,
162,15,<,25,Miami (FL),ACC,3-0,565,19,W 45-10 A Appalachian State,Week 3Sep 18[4],2016,10.0,
163,16,<,21,Baylor,Big 12,3-0,529,15,W 38-10 A Rice,Week 3Sep 18[4],2016,7.0,
164,17,<,24,Arkansas,SEC,3-0,528,18,W 42-3 H Texas State,Week 3Sep 18[4],2016,9.0,
165,18,<,20,LSU,SEC,2-1,517,17,W 23-20 H Mississippi State,Week 3Sep 18[4],2016,3.0,
166,19,<,23,Florida,SEC,3-0,479,16,W 32-0 H North Texas,Week 3Sep 18[4],2016,7.0,
167,20,<,NR,Nebraska,Big Ten,3-0,420,20,W 35-32 H #22 Oregon,Week 3Sep 18[4],2016,6.0,
168,21,<,11,Texas,Big 12,2-1,196,24,L 50-43 A California,Week 3Sep 18[4],2016,-10.0,
169,22,<,NR,San Diego State,MWC,3-0,183,RV,W 42-28 A Northern Illinois,Week 3Sep 18[4],2016,4.0,
170,23,<,19,Mississippi,SEC,1-2,172,21,L 48-43 H #1 Alabama,Week 3Sep 18[4],2016,-4.0,
171,24,<,NR,Utah,Pac-12,3-0,154,23,W 34-17 A San Jose State,Week 3Sep 18[4],2016,2.0,
172,25,<,14,Oklahoma,Big 12,1-2,139,RV,L 45-24 H #3 Ohio State,Week 3Sep 18[4],2016,-11.0,
173,RV,<,NR,TCU,Big 12,2-1,132,21,W 41-20 H Iowa State,Week 3Sep 18[4],2016,-11.0,
174,RV,<,NR,North Dakota State,MVC,3-0,74,NR,W 23-21 A #13 Iowa,Week 3Sep 18[4],2016,0.0,
175,RV,<,NR,UCLA,Pac-12,2-1,74,RV,W 17-14 A BYU,Week 3Sep 18[4],2016,0.0,
176,RV,<,NR,Boise State,MWC,2-0,69,RV,DNP,Week 3Sep 18[4],2016,0.0,
177,RV,<,13,Iowa,Big Ten,2-1,47,25,L 23-21 H North Dakota State,Week 3Sep 18[4],2016,-10.0,
178,RV,<,NR,California,Pac-12,2-1,44,RV,W 50-43 H #11 Texas,Week 3Sep 18[4],2016,0.0,
179,RV,<,NR,Oklahoma State,Big 12,2-1,42,RV,W 45-38 H Pittsburgh,Week 3Sep 18[4],2016,-4.0,
180,RV,<,18,Notre Dame,Ind,1-2,32,RV,L 36-28 H #12 Michigan State,Week 3Sep 18[4],2016,-8.0,
181,RV,<,22,Oregon,Pac-12,2-1,23,RV,L 35-32 A Nebraska,Week 3Sep 18[4],2016,-2.0,
182,RV,<,NR,Georgia Tech,ACC,3-0,17,RV,W 38-7 H Vanderbilt,Week 3Sep 18[4],2016,0.0,
183,RV,<,NR,North Carolina,ACC,2-1,17,RV,W 56-28 H James Madison,Week 3Sep 18[4],2016,0.0,
184,RV,<,NR,Central Michigan,MAC,3-0,16,RV,W 44-21 H UNLV,Week 3Sep 18[4],2016,0.0,
185,RV,<,NR,South Florida,AAC,3-0,7,RV,W 45-20 A Syracuse,Week 3Sep 18[4],2016,0.0,
186,RV,<,NR,Toledo,MAC,3-0,6,RV,W 52-17 H Fresno State,Week 3Sep 18[4],2016,0.0,
187,RV,<,NR,Western Michigan,MAC,3-0,6,RV,W 34-10 A Illinois,Week 3Sep 18[4],2016,0.0,
188,RV,<,NR,Arizona State,Pac-12,3-0,3,RV,W 32-28 A UTSA,Week 3Sep 18[4],2016,0.0,
189,RV,<,NR,Maryland,Big Ten,3-0,3,RV,W 30-24 (2OT) A UCF,Week 3Sep 18[4],2016,0.0,
190,RV,<,NR,Virginia Tech,ACC,2-1,1,NR,W 49-0 H Boston College,Week 3Sep 18[4],2016,0.0,
191,NR,<,NR,Army,Ind,3-0,0,RV,W 66-14 A UTEP,Week 3Sep 18[4],2016,0.0,
192,NR,<,NR,Auburn,SEC,1-2,0,RV,L 29-16 H #17 Texas A&M,Week 3Sep 18[4],2016,0.0,
193,NR,<,NR,Kansas State,Big 12,1-1,0,RV,W 63-7 H Florida Atlantic,Week 3Sep 18[4],2016,0.0,
194,NR,<,NR,Memphis,AAC,2-0,0,RV,W 43-7 H Kansas,Week 3Sep 18[4],2016,0.0,
195,NR,<,NR,Minnesota,Big Ten,2-0,0,RV,DNP,Week 3Sep 18[4],2016,0.0,
196,NR,<,NR,Navy,AAC,3-0,0,RV,W 21-14 A Tulane,Week 3Sep 18[4],2016,0.0,
197,NR,<,NR,West Virginia,Big 12,2-0,0,RV,DNP,Week 3Sep 18[4],2016,0.0,
198,NR,<,NR,Western Kentucky,CUSA,2-1,0,RV,W 31-24 A Miami (OH),Week 3Sep 18[4],2016,0.0,
199,1,<,1,Alabama (50),SEC,4-0,1511,*1,W 48-0 H Kent State,Week 4Sep 25[5],2016,0.0,
200,2,<,2,Ohio State (4),Big Ten,3-0,1440,*2,DNP,Week 4Sep 25[5],2016,1.0,
201,3,<,3,Louisville (6),ACC,4-0,1409,4,W 59-28 A Marshall,Week 4Sep 25[5],2016,7.0,
202,4,<,4,Michigan (1),Big Ten,4-0,1292,5,W 49-10 H Penn State,Week 4Sep 25[5],2016,0.0,
203,5,<,5,Clemson,ACC,4-0,1267,*3,W 26-7 A Georgia Tech,Week 4Sep 25[5],2016,0.0,
204,6,<,6,Houston,AAC,4-0,1239,7,W 64-3 A Texas State,Week 4Sep 25[5],2016,0.0,
205,7,<,7,Stanford,Pac-12,3-0,1166,6,W 22-13 A UCLA,Week 4Sep 25[5],2016,0.0,
206,8,<,11,Wisconsin,Big Ten,4-0,1084,8,W 30-6 A #8 Michigan State,Week 4Sep 25[5],2016,1.0,
207,9,<,10,Texas A&M,SEC,4-0,1036,10,W 45-24 N #17 Arkansas,Week 4Sep 25[5],2016,8.0,
208,10,<,9,Washington,Pac-12,4-0,986,9,W 35-28 (1OT) A Arizona,Week 4Sep 25[5],2016,-2.0,
209,11,<,14,Tennessee,SEC,4-0,909,11,W 38-28 H #19 Florida,Week 4Sep 25[5],2016,4.0,
210,12,<,13,Florida State,ACC,3-1,804,12,W 55-35 A South Florida,Week 4Sep 25[5],2016,-10.0,
211,13,<,16,Baylor,Big 12,4-0,729,13,W 35-24 H Oklahoma State,Week 4Sep 25[5],2016,8.0,
212,14,<,15,Miami (FL),ACC,3-0,696,14,DNP,Week 4Sep 25[5],2016,11.0,
213,15,<,20,Nebraska,Big Ten,4-0,640,15,W 24-13 A Northwestern,Week 4Sep 25[5],2016,11.0,
214,16,<,23,Mississippi,SEC,2-2,540,17,W 45-14 H #12 Georgia,Week 4Sep 25[5],2016,3.0,
215,17,<,8,Michigan State,Big Ten,2-1,527,16,L 30-6 H #11 Wisconsin,Week 4Sep 25[5],2016,-5.0,
216,18,<,24,Utah,Pac-12,4-0,493,18,W 31-27 H USC,Week 4Sep 25[5],2016,8.0,
217,19,<,22,San Diego State,MWC,3-0,304,24,DNP,Week 4Sep 25[5],2016,7.0,
218,20,<,17,Arkansas,SEC,3-1,241,22,L 45-24 N #10 Texas A&M,Week 4Sep 25[5],2016,4.0,
219,21,<,NR,TCU,Big 12,3-1,239,19,W 33-3 A SMU,Week 4Sep 25[5],2016,5.0,
220,22,<,21,Texas,Big 12,2-1,217,25,DNP,Week 4Sep 25[5],2016,-11.0,
221,23,<,19,Florida,SEC,3-1,176,21,L 38-28 A #14 Tennessee,Week 4Sep 25[5],2016,0.0,
222,24,<,NR,Boise State,MWC,3-0,163,RV,W 38-24 A Oregon State,Week 4Sep 25[5],2016,2.0,
223,25,<,12,Georgia,SEC,3-1,142,20,L 45-14 A #23 Mississippi,Week 4Sep 25[5],2016,-9.0,
224,RV,<,NR,Arizona State,Pac-12,4-0,135,RV,W 51-41 H California,Week 4Sep 25[5],2016,0.0,
225,RV,<,25,Oklahoma,Big 12,1-2,120,RV,DNP,Week 4Sep 25[5],2016,-12.0,
226,RV,<,NR,North Dakota State,Other,3-0,58,NR,DNP,Week 4Sep 25[5],2016,0.0,
227,RV,<,NR,West Virginia,Big 12,3-0,51,RV,W 35-32 N BYU,Week 4Sep 25[5],2016,0.0,
228,RV,<,NR,Virginia Tech,ACC,3-1,38,RV,W 54-17 H East Carolina,Week 4Sep 25[5],2016,0.0,
229,RV,<,NR,Colorado,Pac-12,3-1,33,RV,W 41-38 A Oregon,Week 4Sep 25[5],2016,0.0,
230,RV,<,NR,North Carolina,ACC,3-1,26,23,W 37-36 H Pittsburgh,Week 4Sep 25[5],2016,0.0,
231,RV,<,NR,Iowa,Big Ten,3-1,25,RV,W 14-7 A Rutgers,Week 4Sep 25[5],2016,-13.0,
232,RV,<,NR,UCLA,Pac-12,2-2,22,RV,L 22-13 H #7 Stanford,Week 4Sep 25[5],2016,0.0,
233,RV,<,NR,Auburn,SEC,2-2,18,RV,W 18-13 H #18 LSU,Week 4Sep 25[5],2016,0.0,
234,RV,<,18,LSU,SEC,2-2,17,RV,L 18-13 A Auburn,Week 4Sep 25[5],2016,-6.0,
235,RV,<,NR,Western Michigan,MAC,4-0,14,RV,W 49-31 H Georgia Southern,Week 4Sep 25[5],2016,0.0,
236,RV,<,NR,Wake Forest,ACC,4-0,9,RV,W 33-28 A Indiana,Week 4Sep 25[5],2016,0.0,
237,RV,<,NR,Memphis,AAC,3-0,6,RV,W 77-3 H Bowling Green,Week 4Sep 25[5],2016,0.0,
