date,season,team1,team1ID,team2,team2ID,score1,score2,result,spread,spreadOpen,overUnder,overUnderOpen,homeMoneyLine,awayMoneyLine
2007-09-01,2007,wisconsin,275,washington state,265,42,21,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-01,2007,stanford,24,ucla,26,17,45,0,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-01,2007,florida atlantic,2226,middle tennessee,2393,27,14,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-01,2007,bethune-cookman,2065,jacksonville,294,31,17,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-01,2007,byu,252,arizona,12,20,7,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-01,2007,duquesne,2184,bucknell,2083,19,28,0,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-01,2007,winston-salem,2736,north carolina a&t,2448,28,7,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-01,2007,stony brook,2619,georgetown,46,35,28,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-01,2007,tcu,2628,baylor,239,27,0,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-01,2007,kentucky,96,eastern kentucky,2198,50,10,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-01,2007,nc state,152,ucf,2116,23,25,0,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-01,2007,maine,311,monmouth,2405,21,14,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-01,2007,norfolk state,2450,virginia state,330,33,7,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-01,2007,pittsburgh,221,eastern michigan,2199,27,3,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-01,2007,maryland,120,villanova,222,31,14,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-01,2007,lafayette,322,marist,2368,49,10,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-01,2007,north carolina,153,james madison,256,37,14,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-01,2007,georgia,61,oklahoma state,197,35,14,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-01,2007,delaware state,2169,coastal carolina,324,23,18,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-01,2007,texas state,326,cal poly,13,38,35,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-01,2007,northwestern state,2466,henderson state,2271,41,6,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-01,2007,stephen f. austin,2617,tarleton state,2627,24,27,0,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-01,2007,louisiana tech,2348,central arkansas,2110,28,7,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-01,2007,austin peay,2046,bethel (tn),2064,43,19,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-01,2007,tennessee state,2634,alabama a&m,2010,23,49,0,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-01,2007,ohio,195,gardner-webb,2241,36,14,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-01,2007,toledo,2649,purdue,2509,24,52,0,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-01,2007,kansas,2305,central michigan,2117,52,7,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-01,2007,furman,231,presbyterian college,2506,40,16,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-01,2007,vanderbilt,238,richmond,257,41,17,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-01,2007,arkansas,8,troy,2653,46,26,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-01,2007,oklahoma,201,north texas,249,79,10,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-01,2007,texas,251,arkansas state,2032,21,13,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-01,2007,alcorn state,2016,grambling,2755,10,31,0,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-01,2007,jackson state,2296,delta state,2170,15,27,0,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-01,2007,wofford,2747,georgetown (ky),2245,38,21,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-01,2007,southern mississippi,2572,ut martin,2630,35,13,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-01,2007,akron,2006,army,349,22,14,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-01,2007,davidson,2166,unc pembroke,2882,31,21,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-01,2007,south carolina,2579,louisiana,309,28,14,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-01,2007,south florida,58,elon,2210,28,13,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-01,2007,texas a&m,245,montana state,147,38,7,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-01,2007,alabama,333,western carolina,2717,52,6,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-01,2007,auburn,2,kansas state,2306,23,13,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-02,2007,alabama state,2011,jacksonville state,55,24,19,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-02,2007,indiana,84,indiana state,282,55,7,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-02,2007,california,25,tennessee,2633,45,31,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-02,2007,minnesota,135,bowling green,189,31,32,0,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-02,2007,rice,242,nicholls,2447,14,16,0,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-02,2007,texas southern,2640,prairie view,2504,14,34,0,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-02,2007,mcneese,2377,portland state,2502,35,12,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-02,2007,arizona state,9,san josé state,23,45,3,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-02,2007,utep,2638,new mexico,167,10,6,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-02,2007,azusa pacific,2049,san diego,301,32,42,0,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-02,2007,fresno state,278,sacramento state,16,24,3,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-02,2007,usc,30,idaho,70,38,10,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-02,2007,hawai'i,62,northern colorado,2458,63,6,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-02,2007,north carolina central,2428,fayetteville state,2220,17,0,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-03,2007,smu,2567,texas tech,2641,9,49,0,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-04,2007,clemson,228,florida state,52,24,18,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-06,2007,ut martin,2630,missouri state,2623,44,51,0,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-06,2007,louisville,97,middle tennessee,2393,58,42,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-06,2007,alcorn state,2016,arkansas-pine bluff,2029,3,21,0,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-06,2007,cincinnati,2132,oregon state,204,34,3,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-07,2007,tennessee tech,2635,cumberland,2161,45,21,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-07,2007,rutgers,164,navy,2426,41,24,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-08,2007,marshall,276,west virginia,277,23,48,0,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-08,2007,pittsburgh,221,grambling,2755,34,10,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-08,2007,central connecticut,2115,merrimack,2771,45,7,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-08,2007,virginia,258,duke,150,24,13,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-08,2007,oklahoma,201,miami,2390,51,13,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-08,2007,minnesota,135,miami (oh),193,41,35,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-08,2007,eastern michigan,2199,ball state,2050,16,38,0,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-08,2007,ohio state,194,akron,2006,20,2,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-08,2007,purdue,2509,eastern illinois,2197,52,6,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-08,2007,wake forest,154,nebraska,158,17,20,0,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-08,2007,michigan state,127,bowling green,189,28,17,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-08,2007,northwestern,77,nevada,2440,36,31,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-08,2007,northeastern,111,richmond,257,14,49,0,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-08,2007,vanderbilt,238,alabama,333,10,24,0,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-08,2007,sacred heart,2529,la salle,2325,54,14,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-08,2007,iona,314,wagner,2681,17,14,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-08,2007,clemson,228,louisiana monroe,2433,49,26,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-08,2007,army,349,rhode island,227,14,7,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-08,2007,temple,218,buffalo,2084,7,42,0,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-08,2007,vmi,2678,william & mary,2729,16,63,0,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-08,2007,colgate,2142,umass,113,17,35,0,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-08,2007,lehigh,2329,villanova,222,20,30,0,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-08,2007,monmouth,2405,robert morris,2523,17,20,0,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-08,2007,howard,47,hampton,2261,24,31,0,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-08,2007,savannah state,2542,johnson c smith,2304,24,10,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-08,2007,dayton,2168,urbana,2666,45,7,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-08,2007,st francis (pa),2598,morehead state,2413,14,21,0,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-08,2007,hanover,2262,butler,2086,14,44,0,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-08,2007,presbyterian college,2506,pikeville,95,58,7,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-08,2007,wingate,351,davidson,2166,33,30,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-08,2007,georgia tech,59,samford,2535,69,14,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-08,2007,wyoming,2751,utah state,328,32,18,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-08,2007,colorado state,36,california,25,28,34,0,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-08,2007,the citadel,2643,webber international,2691,76,0,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-08,2007,trinity international (il),2907,valparaiso,2674,17,13,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-08,2007,boston college,103,nc state,152,37,17,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-08,2007,northern colorado,2458,chadron state,2123,0,31,0,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-08,2007,montana,149,fort lewis,2237,49,0,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-08,2007,michigan,130,oregon,2483,7,39,0,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-08,2007,jacksonville state,55,chattanooga,236,33,19,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-08,2007,texas a&m,245,fresno state,278,47,45,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-08,2007,appalachian state,2026,lenoir-rhyne,2331,48,7,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-08,2007,james madison,256,new hampshire,160,41,24,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-08,2007,washington,264,boise state,68,24,10,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-08,2007,morgan state,2415,towson,119,21,28,0,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-08,2007,bethune-cookman,2065,south carolina state,2569,13,24,0,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-08,2007,western kentucky,98,west virginia tech,2706,87,0,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-08,2007,mississippi valley state,2400,southern,2582,6,23,0,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-08,2007,idaho,70,cal poly,13,20,13,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-08,2007,florida state,52,uab,5,34,24,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-08,2007,idaho state,304,southern oregon,2584,37,11,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-08,2007,prairie view,2504,north carolina a&t,2448,22,7,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-08,2007,georgia,61,south carolina,2579,12,16,0,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-08,2007,eastern kentucky,2198,western carolina,2717,45,21,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-08,2007,ole miss,145,missouri,142,25,38,0,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-08,2007,east carolina,151,north carolina,153,34,31,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-08,2007,utah,254,air force,2005,12,20,0,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-08,2007,youngstown state,2754,south dakota state,2571,23,17,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-08,2007,indiana state,282,austin peay,2046,17,32,0,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-08,2007,georgia southern,290,west georgia,2698,45,21,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-08,2007,elon,2210,wv wesleyan,455,59,16,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-08,2007,florida a&m,50,delaware state,2169,7,20,0,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-08,2007,florida,57,troy,2653,59,31,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-08,2007,fordham,2230,albany,399,20,23,0,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-08,2007,kentucky,96,kent state,2309,56,20,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-08,2007,bucknell,2083,stony brook,2619,20,48,0,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-08,2007,north carolina central,2428,st. augustine's,395,6,0,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-08,2007,gardner-webb,2241,jacksonville,294,27,6,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-08,2007,penn state,213,notre dame,87,31,10,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-08,2007,ucla,26,byu,252,27,17,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-08,2007,tennessee state,2634,jackson state,2296,16,13,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-08,2007,tennessee,2633,southern mississippi,2572,39,19,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-08,2007,nicholls,2447,southern arkansas,2568,31,13,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-08,2007,northwestern state,2466,central arkansas,2110,31,28,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-08,2007,sam houston state,2534,arkansas-monticello,2028,48,10,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-08,2007,wofford,2747,charleston southern,2127,52,24,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-08,2007,southeast missouri state,2546,southwest baptist,2586,38,17,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-08,2007,delaware,48,west chester,223,41,14,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-08,2007,illinois,356,western illinois,2710,21,0,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-08,2007,connecticut,41,maine,311,38,0,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-08,2007,hofstra,2275,furman,231,32,17,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-08,2007,iowa state,66,northern iowa,2460,13,24,0,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-08,2007,texas tech,2641,utep,2638,45,31,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-08,2007,coastal carolina,324,winston-salem,2736,28,21,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-08,2007,central michigan,2117,toledo,2649,52,31,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-08,2007,louisiana,309,ohio,195,23,31,0,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-08,2007,washington state,265,san diego state,21,45,17,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-08,2007,baylor,239,rice,242,42,17,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-08,2007,texas,251,tcu,2628,34,13,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-08,2007,drake,2181,waldorf,3080,45,14,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-08,2007,texas state,326,abilene christian,2000,27,45,0,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-08,2007,florida international,2229,maryland,120,10,26,0,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-08,2007,kansas,2305,southeastern louisiana,2545,62,0,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-08,2007,kansas state,2306,san josé state,23,34,14,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-08,2007,oklahoma state,197,florida atlantic,2226,42,6,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-08,2007,tulane,2655,mississippi state,344,17,38,0,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-08,2007,louisiana tech,2348,hawai'i,62,44,45,0,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-08,2007,alabama a&m,2010,clark atlanta,2805,41,10,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-08,2007,illinois state,2287,murray state,93,43,17,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-08,2007,northern illinois,2459,southern illinois,79,31,34,0,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-08,2007,north dakota state,2449,stephen f. austin,2617,28,19,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-09,2007,southern utah,253,north dakota,155,10,37,0,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-09,2007,texas southern,2640,alabama state,2011,10,21,0,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-09,2007,western michigan,2711,indiana,84,27,37,0,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-09,2007,smu,2567,north texas,249,45,31,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-09,2007,iowa,2294,syracuse,183,35,0,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-09,2007,auburn,2,south florida,58,23,26,0,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-09,2007,san diego,301,marist,2368,38,17,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-09,2007,portland state,2502,uc davis,302,17,26,0,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-09,2007,lsu,99,virginia tech,259,48,7,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-09,2007,new mexico,167,new mexico state,166,44,34,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-09,2007,arizona,12,northern arizona,2464,45,24,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-09,2007,unlv,2439,wisconsin,275,13,20,0,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-09,2007,arizona state,9,colorado,38,33,14,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-13,2007,jackson state,2296,texas southern,2640,28,7,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-13,2007,maryland,120,west virginia,277,14,31,0,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-14,2007,air force,2005,tcu,2628,20,17,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-14,2007,tennessee tech,2635,concordia (al),3099,55,7,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-14,2007,samford,2535,presbyterian college,2506,34,24,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-15,2007,troy,2653,oklahoma state,197,41,23,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-15,2007,connecticut,41,temple,218,22,17,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-15,2007,indiana,84,akron,2006,41,24,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-15,2007,michigan state,127,pittsburgh,221,17,13,1,NaN,NaN,NaN,NaN,NaN,NaN
